"piler_party","party_id","party_code","party_name","Country","X5"
"Social Democratic Party",838,"PSD","Social Democratic Party of Albania","Albania",
"Christian Democratic Party",7013,"PDK","Demochristian Party of Albania","Albania",
"Democratic Party",190,"PDS","Democratic Party of Albania","Albania",
"Republican Party",819,"PRS","Republican Party of Albania","Albania",
"Socialist Party",1729,"PSS","Socialist Party of Albania","Albania",
"Green Party",,,,"Albania",
"National Front Party",674,"BKS","Albanian National Front Party","Albania",
"New Democratic Party",1558,"PDR","New Democratic Party","Albania",
"Socialist Movement for Integration",2297,"LSI","Socialist Movement for Integration","Albania",
"Democratic Alliance Party",594,"PAD","Democratic Alliance Party","Albania",
"Agrarian Party",840,"PA","Agrarian Party","Albania",
"Movement of Leka Zogu I",7327,"Z","Zogist group","Albania",
"Human Rights Union Party",1636,"PBDN","Unity for Human Rights Party","Albania",
"Party of National Unity",,,,"Albania",
"Socialist Party of Albania",1729,"PSS","Socialist Party of Albania","Albania",
"Democratic Party of Albania",190,"PDS","Democratic Party of Albania","Albania",
"Party for Justice, Integration and Unity",3270,"PDIU","Party for Justice, Integration and Unity","Albania",
"Libra Party",8491,"LIBRA","Libra Party","Albania",
"Social Democratic Party of Albania",838,"PSD","Social Democratic Party of Albania","Albania",
"New Democratic Spirit",3697,"FRD","New Democratic Spirit","Albania",
"SFIDA",,,,"Albania",
"Party for the Future of the Greek Minority",,,,"Albania",
"Partia Socialiste e Shqipërisë (PS)",1729,"PSS","Socialist Party of Albania","Albania",
"Partia Demokratike e Shqipërisë (PD)",190,"PDS","Democratic Party of Albania","Albania",
"Fryma e Re Demokratike (FRD)",3697,"FRD","New Democratic Spirit","Albania",
"Partia Republikane e Shqipërisë (PR)",819,"PRS","Republican Party of Albania","Albania",
"Aleanca Kuq e Zi (AK)",8354,"AK","Red and Black Alliance","Albania",
"Partia Bashkimi për të Drejtat e Njeriut (PBDNJ)",1636,"PBDN","Unity for Human Rights Party","Albania",
"Lëvizja Socialiste për Integrim (LSI)",2297,"LSI","Socialist Movement for Integration","Albania",
