"piler_party","party_id","party_code","party_name","Country"
"Agrarian Environmentalist Party",,,,"Albania"
"Agrarian Party",840,"PA","Agrarian Party","Albania"
"Albanian National Front Party",674,"BKS","Albanian National Front Party","Albania"
"Aleanca Kuq e Zi (AK)",8354,"AK","Red and Black Alliance","Albania"
"Christian Democratic Party",4715,"PKDSH","Christian Democratic Party of Albania","Albania"
"Communist Party of Albania",4711,"PPSH","Party of Labour / Albanian Workers' Party","Albania"
"Democratic Alliance Party",594,"PAD","Democratic Alliance Party","Albania"
"Democratic Party",190,"PDS","Democratic Party of Albania","Albania"
"Democratic Party of Albania",190,"PDS","Democratic Party of Albania","Albania"
"Democratic Party, PD",190,"PDS","Democratic Party of Albania","Albania"
"Environmental Party",,,,"Albania"
"Equal List, LIBRA",8491,"LIBRA","Libra Party","Albania"
"Fryma e Re Demokratike (FRD)",3697,"FRD","New Democratic Spirit","Albania"
"Green Party",,,,"Albania"
"Human Rights Union Party",1636,"PBDN","Unity for Human Rights Party","Albania"
"Justice, Integration and Unity Party",3270,"PDIU","Party for Justice, Integration and Unity","Albania"
"Levizja per Demokraci (PLD)",717,"BLD","Liberal Democratic Union","Albania"
"Libra Party",8491,"LIBRA","Libra Party","Albania"
"Lëvizja Socialiste për Integrim (LSI)",2297,"LSI","Socialist Movement for Integration","Albania"
"Movement for Legality Party - PLL",732,"PLL","Movement of Legality Party","Albania"
"Movement of Legality Party",732,"PLL","Movement of Legality Party","Albania"
"Movement of Leka Zogu I",732,"PLL","Movement of Legality Party","Albania"
"National Front Party",674,"BKS","Albanian National Front Party","Albania"
"National Front Party - PBK",674,"BKS","Albanian National Front Party","Albania"
"New Democrat Party",1558,"PDR","New Democratic Party","Albania"
"New Democratic Party",1558,"PDR","New Democratic Party","Albania"
"New Democratic Spirit",3697,"FRD","New Democratic Spirit","Albania"
"Partia Agrare The Agricultural Party",840,"PA","Agrarian Party","Albania"
"Partia Bashkimi për të Drejtat e Njeriut (PBDNJ)",1636,"PBDN","Unity for Human Rights Party","Albania"
"Partia Demokratike - Democratic Party",190,"PDS","Democratic Party of Albania","Albania"
"Partia Demokratike e Shqipërisë (PD)",190,"PDS","Democratic Party of Albania","Albania"
"Partia DjathtA Demokratike - The Right (wing) Democratic Party",,,,"Albania"
"Partia Drejtësi, Integrim dhe Unitet (PDIU)",3270,"PDIU","Party for Justice, Integration and Unity","Albania"
"Partia Komuniste - The Communist Party",4711,"PPSH","Party of Labour / Albanian Workers' Party","Albania"
"Partia Republikane - The Republican Party",819,"PRS","Republican Party of Albania","Albania"
"Partia Republikane e Shqipërisë (PR)",819,"PRS","Republican Party of Albania","Albania"
"Partia Social Demokrate - The Social Democrat Party",838,"PSD","Social Democratic Party of Albania","Albania"
"Partia Socialiste - Socialist Party",1729,"PSS","Socialist Party of Albania","Albania"
"Partia Socialiste e Shqipërisë (PS)",1729,"PSS","Socialist Party of Albania","Albania"
"Partia e AlencAs Demokratike - The Democratic Alliance Party",594,"PAD","Democratic Alliance Party","Albania"
"Partia e Ballit -The Front Party",8377,"BK","National Front","Albania"
"Partia e Demokristiane -The Demochristian Party",7013,"PDK","Demochristian Party of Albania","Albania"
"Partia e Legalitetit - The Legalization Party",732,"PLL","Movement of Legality Party","Albania"
"Partia e tA Drejtave tA Njeriut - The Human Rights Party",1636,"PBDN","Unity for Human Rights Party","Albania"
"Party for Justice, Integration and Unity",3270,"PDIU","Party for Justice, Integration and Unity","Albania"
"Party for the Future of the Greek Minority",,,,"Albania"
"Party of Labour / Albanian Workers' Party",4711,"PPSH","Party of Labour / Albanian Workers' Party","Albania"
"Party of National Unity",,,,"Albania"
"Party of Union for Democracy (PUD)",,,,"Albania"
"Reformed Democratic Party",,,,"Albania"
"Republican Party",819,"PRS","Republican Party of Albania","Albania"
"Republican Party of Albania",819,"PRS","Republican Party of Albania","Albania"
"Republican Party of Albania - PR",819,"PRS","Republican Party of Albania","Albania"
"SFIDA",,,,"Albania"
"Social Democratic Party",838,"PSD","Social Democratic Party of Albania","Albania"
"Social Democratic Party of Albania",838,"PSD","Social Democratic Party of Albania","Albania"
"Socialist Movement for Integration",2297,"LSI","Socialist Movement for Integration","Albania"
"Socialist Party",1729,"PSS","Socialist Party of Albania","Albania"
"Socialist Party of Albania",1729,"PSS","Socialist Party of Albania","Albania"
"The Christian Democratic Party of Albania - PDK",7013,"PDK","Demochristian Party of Albania","Albania"
"The Communist Party of Albania",4711,"PPSH","Party of Labour / Albanian Workers' Party","Albania"
"The Democratic Alliance Party",594,"PAD","Democratic Alliance Party","Albania"
"The Democratic Alliance Party - PAD",594,"PAD","Democratic Alliance Party","Albania"
"The Democratic Party of Albania - PD",190,"PDS","Democratic Party of Albania","Albania"
"The Environmentalist Agrarian Party - PAA",,,,"Albania"
"The Human Rights Union Party",1636,"PBDN","Unity for Human Rights Party","Albania"
"The Legality Movement Party",732,"PLL","Movement of Legality Party","Albania"
"The Liberal Democracy Party - PDL",717,"BLD","Liberal Democratic Union","Albania"
"The New Democratic Party - PDR",1558,"PDR","New Democratic Party","Albania"
"The People's Alliance Party",,,,"Albania"
"The Reformed Democratic Party",,,,"Albania"
"The Social Democracy Party of Albania - PDSSH",,,,"Albania"
